address,exclusion_reason,sources
0xfc002ff1f56e052da44f9cd612b03765c5a972c1,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv;sources/stake-cat-solo-stakers-B.csv
0x16ae80c1ad688ad5d41e9482513fd81b0bd217ea,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0xe4f077bf767a57ae9aad77b0ab54cbde0bede65a,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv;sources/stake-cat-rocketpool-solo-stakers.csv;sources/stake-cat-solo-stakers-B.csv
0x70f8f20a67a33fec52cbc2ce4e0bf3bc3ebbec04,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x4069d8a3de3a72eca86ca5e0a4b94619085e7362,sources/exclude/ever-slashed.csv,sources/stake-cat-gnosischain-solo-stakers.csv
0x010d8e6060f0934c1ab0007a9ec087971012a52e,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0xca3f53b2aa6bfa82af3993a4c8f4cc27acf47b77,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x7affca5caf86d3ccf36679cb60bda528e2fe05ac,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x2b7e10e416b91c54e6742c6c83c278553df28c90,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x25ce1a59cf91ad5636a3717f9cf909c94aa31e49,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv;sources/stake-cat-solo-stakers-B.csv
0xc09d5c7d4521a5ba609af753bf8eca2f96943a46,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x84915e9e4dd417c990b54acc2f751af337fe8466,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x61c1071ec8bf305893e45f599ae54c7e8ae0c7bc,sources/exclude/ever-slashed.csv,sources/stake-cat-rocketpool-solo-stakers.csv
0x69e69571d0d07edbede6c43849e8d877573ee6bf,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0xb19209ebb9ef278a97e3d7dde19149d8c215060c,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0x0007a75d9fd37a8d341465e50ed7c0874eb16076,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x562ab7dca86f8947f5b066a663d83452954a71a2,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0x1d7b00ee044e45758d0fdce37822dfbb90e7fe4b,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0xfef3c7aa6956d03dbad8959c59155c4a465dcacd,sources/exclude/pro-node-operators.csv;sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x77d2cf58aa4da90b3afcd283646568e4383193bf,sources/exclude/pro-node-operators.csv,sources/rated-solo-staker.csv
0x5bc5ec5130f66f13d5c21ac6811a7e624ed3c7c6,sources/exclude/pro-node-operators.csv,sources/stake-cat-rocketpool-solo-stakers.csv
0x765c6a8f20c842e8c826b0d9425015784f982afc,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x4f75b66cdc60d8550e176d112275e5338b413fc3,sources/exclude/pro-node-operators.csv;sources/exclude/pro-node-operators.csv,sources/galxe-lido-point-holders.csv;sources/obol-techne-credentials-silver.csv
0x3fbf669c9a72f06c125032c6dd7aa1d1d51c5eb8,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x14c5d9756a2443aed4c5dbe05ce39e1f1a27818a,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xb23bbd9aa7f2dc7e8f2bf93cc4e6ac728b1dcf17,sources/exclude/pro-node-operators.csv,sources/galxe-lido-point-holders.csv;sources/obol-techne-credentials-silver.csv
0x7d800a412ca8d1abda9c918accc74ca5ce5b19c8,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
