address,galxe-lido-point-holders,lido-dappnode-buyers,obol-techne-credentials-base,obol-techne-credentials-bronze,obol-techne-credentials-silver,rated-solo-staker,stake-cat-gnosischain-solo-stakers,stake-cat-rocketpool-solo-stakers,stake-cat-solo-stakers-B,csm-testnet-good-performers
0x772213aad4c6b37d2cc0fa3b74f9ace5a028b8c8,X,,,,,,,,,
0x9dff7476d17c43fc7b33d4ff7637a9b63dc228cb,X,,,,,,,,,
0x00f7fb4cd865c370e469906b29f93cfcb3177767,X,,X,,,,,,,
0xeb6cc89475a1dc56138f604bde453e8b92dab4bf,X,,,,X,,,,,
0xf8d307bc22158c8b1852881da9a7dbd97dfd7df3,X,,X,,X,,,,,
0xf627347ec940f1da5fac192222e88ccac97e5950,X,,,,,,,,,
0xf122eba5ea71dfa018ba2c55dad05d2aabc09d2e,X,,,,,,,,,
0xdccf8451070a86183ee70d330c4c43b686e9cf86,X,,,,X,,,,,
0x50b06a4037a167073a45ab3cc895c52378b08ba8,X,,,,,,,,,X
0xfffaa742a7258c6b5f917577c928bb72ca9db7dd,X,,,,,,,,,
0xf656245770d82368c5f6b6a9c2f0e0d7997dbd85,X,,,,,,,,,X
0x1c8c23d270e56177d55a2cb0b90775e89b936f3d,X,,,,X,,,,,
0x97255c3eff9933a22472acb1d025395c4f9b62f3,X,,,,X,,,,,
0x8c58bf01aa3392d4dc7a8232f42e80937f45257f,X,,,,X,,,,,
0xcb4b578c9934476782427726941ba2c1a1928dc7,X,,,,,,,,,
0xf401a7c5469b54eaf88597b92c53a0ece91cc398,X,,,,X,,,,,
0x69deabac0d8a33986be9117026bf082fca12548f,X,,,,,,,,,
0x8cc636a9de0fd4f558cc8efb61171f1bfe46ada3,X,,,,X,,,,,
0x56edfd23ee4b18d2fed3d71441bc1cca0e706483,X,,,,X,,,,,
0xa085e7b2935c573f45a72bb01cdb9a83af4fbea6,X,,X,X,X,,,,,
0x44bc8bf42e6c1f8f5d285fbb65986122c484a3f1,X,,,,,X,,X,,X
0x47c633985e2a39b5bef016b98d708e4bde3ef746,X,,,,X,,,,,
0x9da073d804957fb65bb03b4576b10b04c681a61a,X,,,,X,,,,,
0x439ee1b0903b17427c3d226761b8373876fec544,X,,,,X,,,,,
0x78fe936c552317cc63d2043c12407987f0f39b7a,X,,,,,,,,,X
0x4207df52f7ff229364899b21e9c4ad36d3d42981,X,,,,X,,,,,
0xff3885ef026edc8609037b0f3cdade548e302624,X,,X,X,,,,,,
0xb22981ba3fe1de2325935c91a3b717168fb86714,X,,X,X,X,,X,,,X
0xa75bdc8652b058deac5429c469aa098ba8b2e34c,X,,,,,,,,,
0x43ef317d589d4d4de159d79c0f02a423c13724dc,X,,,,,,,,,
0x2b749d044e42cf7974a3d7dac16b39b5d88fe0ce,X,,,,X,,,,,
0x392fbd98f9cf6762a408ccc114ef8fcd09412d43,X,,,,X,,,,,
0x68c81fdf2c21b333495408b83514f4006f6768c4,X,,X,X,X,,,,,
0xfdc46fbdd8af50d9bf7536bf44ce8560e423352c,X,,,,X,,,,,
0x20595d6f330ca93995d6376b2fdb28cbeba01217,X,,X,,,,,,,
0xa512731e615bb6ad7e92f54631e9b57235631b1b,X,,X,X,,,,,,
0x6964fc77ce7e81397c9653a9b818bc1fdec43275,X,,,,,,,,,
0x3e047fca2319ef47cf0b1bb4ac8e4f5d6e1ba02c,X,,X,X,,,,,,
0xa024b9bf07d9b3c0704aef00f2b1df54dc6fafd1,X,,,,,,,,,
0xc95c4dac8588959ee66cd1bc6586efbd24349a93,X,,,,,,,,,
0xc6d1d35ef30e258e9e405ba1fd64bb7442a2dbbf,X,,X,,,,,,,
0x31ca28b43f5d280ff09a72893c1677b295e4e4a5,X,,,,X,,,,,
0x47ab19ad14faf69e67bca1e79370d808a3b9525f,X,,,,X,,,,,
0x9085798c6ea184f9233cdc7017aa645ff690d33c,X,,,,,,,,,
0x24ce91e076a07306728b26ea20782e6bedb555cb,X,,,,X,,,,,
0x75f847abf1f23d31772d035fc4e1c9623becf755,X,,,,,,,,,
0xd1f32511b4d160cbb050d3f05bd07f6c0ef47a8c,X,,X,X,,,,,,
0x854711f82e1df2dc0278f623e9c66a2dbef5389a,X,,X,X,X,,,,,
0x7126340437aff26c735ee491f42b3aa752b9d5cd,X,,X,X,,,,,,
0x938ed0c13ab2df31c89ee187ca8726cb12ae01b0,X,,X,,,,,,,
0xe3f6a7c196ba124a49a3b2798bb838236b87481e,X,,,,,,,,,
0x12afc6451f21feddeb1f732d6baa02684c258d9c,X,,,,X,,,,,
0x5318b851d96637823aef87df2c59ab6de37f599d,X,,,,,,,,X,
0x1eae1d8d060ddd478c93e0ab4a848d482b8b414a,X,,,,X,,,,,
0x08b7ab9bbc3a07cf7f75b4acec5b536b7e040cfc,X,,,,,,,,,
0x3cc04875e98edf01065a4b27e00bcfeddb76cba8,X,,,,X,,,,,
0xcc77e225df6da86a2973aee67a0aac1e9e985e1e,X,,,,,,,,,
0xa4eab50ecc5b914e522f5ea913b302aac6b8c3e8,X,,,,X,,,,,
0x0dc2e4b0533320c3454f56e15564bea1dd358e5a,X,,,,,,,,,
0x86db06268e7a68b99e979faca4590147c0d68037,X,,,,,,,,,X
0x6e156a5e28902be5391924d635e4b0bd8af56530,X,,,,X,,,,,
0xd49f5c00cc9096bad7ba4b27bf40b2f17c85ac98,X,,,,,,,,,
0x2182e01627dc99e5acb0ea04206e9990c69cebb8,X,,,,X,,,,,
0x06a90756e57bc7a016eed0ab23fc36d11c42bba0,X,,,,X,,,,,
0x6bd36310cec97dcb2499fafe285b48a6f8d0fd13,X,,,,,,,,,X
0x20e89c522b2c465cc2d342f1e73c80d610198d52,X,,,,,,,,,X
0xe99848ea3b2ec9e891d572d151e587ee2897051a,X,,X,X,,,,,,X
0x6c15313ed774cd815ec15d25582f893f18328666,X,,X,X,,,,,,
0xc950a5b78898919660745436229d7a7e70fa2a6a,X,,X,X,,,,,,
0x6d08b74bd14b2d6deb468ba31d578a002d0adde8,X,,,,,,,,,
0x0180fb2c78c620e78b7de9a83ef3e04ce6608b36,X,,,,,,,,,
0x5d1efdd2eabef44aca03a74f9870ea68e8c9166f,X,,,,,,,,,
0xad79579eecef31f4719426232d7b527b17b84f85,X,,,,,,,,,
0x65ebf9fe16c709cabe98eac849e2e68ba8c9c923,X,,,,,,,,,
0xc89d0473858fc916283d645f60c21def5cfc9ea3,X,,X,X,,,,,,
0x626dd8ceb6be6121982d2eef2f772455d841047c,X,,X,,X,,,,,X
0x787ee8e9653842b1e150cee0be03f275e114735a,X,,,,,,,,,
0xf997e6d514b17d882a3fa9efb7b5e6d7b1f2a332,X,,,,,,,,,
0xa4dde78906b73133296d43f23ca4b41009059123,X,,,,,,,,,
0xea5b4521334fc4916ce46b34478c6ba4b660dcb4,X,,,,,,,,,
0x9c63d3f47dce0ed6e36fa4a516c72e635c541d19,X,,,,,,,,,
0x791525f8013c76a10887a280d357295bc30d6c7b,X,,,,,,,,,X
0x0fa4bd459a829151354589679b074d8c1738062f,X,,,,,,,,,
0xe6b5a31d8bb53d2c769864ac137fe25f4989f1fd,X,,X,X,,,X,X,,X
0x654e679d7b8a203a46ed259bbfd53c86666821ad,X,,,,X,,,,,
0x391891af67e29d97e61e30c3036a0874f5da411e,X,,,,X,,,,,
0x8847ebaaf29a18396e49191602f8d8d141b98aa7,X,,,,,,,,,
0x915b13028f00c6b0bef03a88ddf1bfd5bd601b19,X,,,,X,,,,,
0xa8fe266851c48facf8ec12c447ca0a30ab7a51bb,X,,,,,,,,,X
0xbc0e7c2eee1ff1c61449fad2d11923a1c0097f2b,X,,X,X,X,,,,,
0xb729717daf009663aab623947d8e6fd0c03601fb,X,,,,,,,,,
0x3888c493ceaef88224841872a802fc71b439fb96,X,,,,,,,,,
0x7eda0857abc58e9a3711fec93622d836b0c0b1ea,X,,,,,X,,,X,
0xe78d39dac7b012823f7916f9efb13f4dffc870ee,X,,,,,,,,,
0x7b0cee1939a4ada062ec79f4862a42c1f47b1806,X,,,,,,,,,X
0x269ebeee083ce6f70486a67dc8036a889bf322a9,X,,,,,,,,,X
0xafe396335f475bed43ed0ad836453cb39578b842,X,,X,X,,,,,,
0xdc78deea4218144a7c27e731f2d4638e8c96edac,X,,,,,,,,,
0x23461e24f1d7601a674ab672adee0b4459302214,X,,X,X,,,,,,
0x52ef63516b3a899b1de9ff2d8a01471fbbaf5fc7,X,,X,,,,,,,
0x2d674857986b5c052ca1cb07b1d2ebf304e2ac5c,X,,X,X,,,,,,
0xf99f3a81220737206ddbc8b633dd8e8d972929bf,X,,,X,,,,,,
0x6a41c71db9066aac0fb4bb84914012a014aa1d65,X,,,,,,,,,
0xcd3db4991bd3e4491483e1575fbe09e3bf5caa45,X,,,,,,,,,X
0x0b6726d84b553351e8b85b21a37f2b69a0801732,X,,X,,,,,,,
0x767a5ad2267b8cb21277a46e84814f70e571e44f,X,,,,,,,,,
0xeacedf6ccbbc081854531c7784f65af8dd909c0c,X,,X,X,,,,,,
0x91f74306818231d54619bcc77dbbbc4e784a5aa0,X,,,,,,,,,
0xba67cecca2e2113216907397a69ab6d03b60f4f0,X,,,,,,,,,
0x0eb15d9af6806e76338531926dfb6199d09f5896,X,,,,,,,,,
0x886fc889a4855fc0d20fcea84b4aad3e7bdf2789,X,,X,,,,,,,
0x46978252bf0e4e612cfa36d376854418bcb773bf,X,,X,,,,,,,
0x56f0d4abee3d9a6d1ac00f1f7eba6fe73c05b046,X,,,,,,,,,
0x8d0eefa504af1116b29bfb1bf65e76b830ee3982,X,,,,,,,,,
0xe533611c8cf37a8ef5ba1d329f58edb5228c9017,X,,,,,,,,X,
0x57eef67476defeea7a38e3b6044f75abfc2a7ed9,X,,,,,,,,,
0x6dbaf1e101ba890d11abdf0162ca6df80e7219b6,X,,,,,,,,,
0x7d0f205f4a7f10b7b1c6282193aa202dc16fbbbe,X,,,,,,,,,
0xec1e924ca5b291f5f2fb11e082c24bc52551c7b7,X,,,,X,,,,,
0x1d1ad234615665c05a9a3a74cc369b3edff677c5,X,,,X,,,,,,
0xf3bf9ddba413825e5ddf92d15b09c2abd8d190dd,X,,X,,X,,X,,,
