Address	valid	invalid	pen	Attesting	Slashed	Exited	Tot	Tag
0x952d451D27008c5fE350CfC2Ad33c34c6Fa008f9	103	0	0	103	0	0	103	
0xE4f8288e2e7EAee5AC51dc8A8270715156544246	103	0	0	103	0	0	103	
0xC8c8D2a4838838e3199723bA87b534BdfA8bD5E6	103	0	0	103	0	0	103	
0x4E342cAa0fda9aeEd86211A91facf2d50417F51d	102	0	0	0	0	102	102	
0xa81CA13C0E6625B1DD9B7980DA3817962F062b8b	101	0	0	86	1	6	101	
0xb4522eB2cA49963De9c3dC69023cBe6D53489C98	101	0	0	72	29	0	101	
0x58f84209e351987649D2C1CF642fFD0741e94b97	101	0	0	0	0	101	101	
0xD5B4c81609a178FB01B06056C01BfeD97e41E2bC	101	0	0	101	0	0	101	
0xef3BaD11D43e7c534DCbf782C08856DF1aF3cF93	100	0	0	100	0	0	100	
0x32c711BD5e637761eC6209dD4fEC50395D508283	100	0	0	100	0	0	100	
0x049f14edBD5E63d9CBfF4AE805cCCCdABa1c202f	100	0	0	100	0	0	100	
0xc8d65A3927Db7F66479dE8642EcFb3a7ffAB3FBc	100	0	0	2	0	98	100	
0x7515D64300F0BF5Eb4793e22CeFa9F1cBA5aEE8A	100	0	0	100	0	0	100	
0x56D68F532B4a6A949f8E0878f9b8Ecc0Ec61ae05	100	0	0	100	0	0	100	
0xbc2BB26a6d821e69A38016f3858561a1D80d4182	100	0	0	100	0	0	100	
0x0207D2a7c75a651458F8bda28C938DC253dEED85	100	0	0	100	0	0	100	
0xcD63b0471Badd114fc68E18Ad489D2a5e1BF88dc	100	0	0	0	0	100	100	
0x13d50AD9b7ed55F1650d8ED7cEf3aFed2A1E12C6	100	0	0	0	0	100	100	
0x30C78f8ceF7BC6E1ec90e61f57Dc8CC779110588	100	0	0	100	0	0	100	
0xd4bB6760B265C249Cbbd1aA6a92c68268af21A1A	100	0	0	0	0	100	100	
0x3F939eA047178F56f59775400488DaC03D36FE2C	100	0	0	100	0	0	100	
0x31556157c8fd8eb9235a2913f54F706d82bF02D2	100	0	0	0	0	100	100	
0x66FD1695FFedE8B697A56BcaC1A7c107201dd478	100	0	0	25	0	75	100	
0x9c9550871C8d714e90eE03E610B21F156381bDF1	100	0	0	100	0	0	100	
0xa3c3Cc924c1dFC4141fE6a908622B7ff687A3187	100	0	0	100	0	0	100	
