Address,Points
0x3180ee74d1737a8e28d0483fff63388f7d9452d9,1
0x318a6c1d757bd1938cefaa681c4cbc5380b34c47,5
0x31ca28b43f5d280ff09a72893c1677b295e4e4a5,10
0x31d0f76eef0630e48029d95f5317ae57fd667ee1,20
0x3254dd4c131edd9da829c5c151443bfe146609a4,10
0x3267f76269c265f3f4d2cf82624a13a2aa16f278,10
0x3273dc17fecb1e8e7e7276bf936364af9af88c2d,5
0x33107b56647014f37375b8291a86409f81a148db,10
0x33524aadbffadb6f9296c6c823eba62dacc6c6b0,1
0x342d8d95eb8e63457b2c8d9845f9b1c3f6413536,5
0x3466c2bdbfae63696dbeeeaab0916d06d3c1a5aa,3
0x347c07f4e898434e5f862ce5bd249cfc1a8598d5,5
0x347e6d5ccb9897aa04677f3d011a1b3be1f64a87,5
0x347e8e326102cc933df23da3bbcaf3af45038f59,4
0x34a151f62d4296b97fba12b7fab0fafebeef04b3,1
0x34e040ae65e8cbfde0b8e2f8bbda396f8f05e46c,5
0x34f845773d4364999f2fbc7aa26abdee902cbb46,15
0x35204448c82fa1f7b205ffb7d6a9e0685bd6a494,1
0x35273e8b14b54cbad3748dbf80ba199f8ec5f3b2,5
0x3557e823f0a0560fd52e22aa4da07e3e0028e166,5
0x3575b29a214974db700a4c0ef7058d0972fa5a4f,10
0x358e25cd4d7631eb874d25f4e1ae4a14b0abb56e,6
0x35a232ba98def744160a4854ab3655b0e40fa161,1
0x35b0e02d2a0d4af6738bd639f0b749259ba25f35,1
0x35e33b243a8912c2e51e1323ba93bcb5481e335e,1
0x36b7e0738fe11f05d26da55d10ee679e684e06f4,5
0x36c648351274bb4455ba6aaabf3f976824a93af4,5
0x36d2478f3efb64d1243e085af74b31efd8ebb7ba,10
0x372d5ab34d594a68a01ddc78b0464add52d3a242,20
0x376846df4cd52a0e1ba5d4e81dcdb3bd15c64046,1
0x380f200e11766fe86a24f4b9bd57d730813a746e,1
0x387da1a8450a87704ef088573ceb47de7cb6967c,1
0x3888c493ceaef88224841872a802fc71b439fb96,10
0x38ca759262992e947fbdbfd1a24218bf74b2a79c,5
0x38da9f622d0a17526049b96452ef81e779fb93ad,5
0x391891af67e29d97e61e30c3036a0874f5da411e,10
0x392fbd98f9cf6762a408ccc114ef8fcd09412d43,25
0x3a658aa38b34924deede08ce2c6c83810a5e2f17,8
0x3ab0b3cfbe2c4f9bd4d5168cf3a3597949d59917,4
0x3afb5ec38dc42d310e4552f19da56b13dc2ff8fc,6
0x3b27cc75f8c7647198b117b96da7c6d1f2e1f73c,5
0x3b52d688a0d2738562912fc225520a5d25533486,26
0x3b98517fc209671aea5d22a58e068f5a7eab03a8,11
0x3b9988e318874e5a2fbf32e3521951756d4f43af,20
0x3ba60244182e6b124a9f65069953fcc91d599b1c,4
0x3ba9c0fac7cee76689a31343e4b074c711a04a55,20
0x3badd6d42c75de56693e8b91890755eca52c4efb,2
0x3c3657acfddcec25f4fc804c6861e6e93e1f774f,2
0x3cbbaffec20e90719e8c0137f51412cf50ae8a85,5
0x3cc04875e98edf01065a4b27e00bcfeddb76cba8,20
0x3ce9fb845f4899ff8d02eebd5574264aab8f44c2,3
0x3d29fb7535ee500053ae97a9c386fb74a9cbb857,1
0x3d4b1e9fa533548b74118bb76d11b752ab5fe150,20
0x3d4f1d4da77a46607bfeba113eeda7d9a3ff4ba3,5
0x3d5a107f7a5bcec8734c49ed54d41bc6f93eb97f,5
0x3d9fefe6135a532565fe39e7dcc91d7407ff3615,1
0x3da45ec536031922a1b7fe5df89630e3e691e66e,10
0x3e047fca2319ef47cf0b1bb4ac8e4f5d6e1ba02c,15
0x3e1fb84db94e326887ab9c6bedaf5060924c39f8,10
0x3e4d2350c45eea6a9fad63e13ba4f81782966811,5
0x3e63036d5f182d44356a94ec5a20743882b24b86,18
0x3e76d36576c65c2e0d48c924b964984a9e2e4a67,1
0x3e8f6e55601bef766634e43b26c99c4c01f71863,6
0x3e9f44209e3217a81f7913a6cd910b9a379a7895,10
0x3ea44328b48a027a5e7ada15c193cbc388268786,10
0x3eee3dbb7910026074924ae278520f1a180ab3aa,4
0x3f136decac34ee8a21ff67102d70865fd13f12e2,1
0x3f699c8dc899cdbf683b6d584468c2b39b3cc74d,8
0x3f6e473d9457452952026c6a77ea79a469d8bdd3,1
0x3f8b39907de69bf3636189a0382958d9b2f413f3,22
0x3f9bafd605608c12220a351abfa288b1a5f5521b,5
0x3feeb75a0f79747d1da40543ecdb9d91d0ac474f,5
0x3ff8fed3b54dddb2f40f10a854f58d3b1bd44578,12
0x4021caab9a5621d0cca630ad4583375590300f4b,15
0x4072666559580b59ef51833f102dc893f6e39826,10
0x407cfe758c8260a8c925c6061ab7c82246af9b04,10
0x4125415d956e01230af9ff3198678ec815fc0e12,1
0x4131287b0042ba450d128bd0b93300fe6ace466c,1
0x417845cb4a5270abe3eafce85c48e40997d5fe6e,10
0x4207df52f7ff229364899b21e9c4ad36d3d42981,10
0x422251cf10357438770868fb30f5fa7f301cbf49,3
0x4301cd2a9bdeae8d833ae5cba481197ab4883b37,9
0x435585fd000b8694ec3257f0bf692a0c6567ae09,6
0x437ae20222c6143be51b876fe636601b060d1c51,4
0x4391522a1cb89b3d9829697bf2167a1f73b93ef7,5
0x439ee1b0903b17427c3d226761b8373876fec544,10
0x43ac14859670e1bc279abac0019f994846d40fef,5
0x43b2069935f839d2c3784a6f2a3150e535f9dbe7,10
0x43cb091428bb1369b63a7f0b075d04e6f4f61743,4
0x43ef317d589d4d4de159d79c0f02a423c13724dc,10
0x443758603e91b0b428f5aefeed21869a108f0ab4,6
0x4493b2b2ea8754119c476bd1e12edd2ccf549b77,1
0x44bc8bf42e6c1f8f5d285fbb65986122c484a3f1,7
0x44edb1b35ad9d679e977803a222aaa15eb32ad1d,5
0x45182a45edde87bf0f4c7b1d372842b780a1f7c1,10
0x4542723ba826c2bc1a672a716adf774ae98d39ff,1
0x45621f6df3d4b6636969439d6010b84595a84650,5
0x4571a15233f7ba793ca9b4628369a3ad9b975d31,8
0x457bd556637be92af2bf998ac27d10e786a98b29,1
0x45851743e34bfd3302a0c51725aa1f92304f9f9f,1
0x45c256f91412141299cd4ec4376b5b1d4f64782c,5
0x45c5e193a4efc6c9b75d6ce9b6379357c74dc982,5
0x462f0560e473e1545fd4d0680c02c499aaf01711,10
0x462f225afa2fc2d57e5613751e5a6b5fbd188c91,1
0x465bb47318f93c9166ff68eb9685429d2e6c13fd,5
0x468bb0335eab30f1f0da1be97a9413cf1c199267,5
0x46978252bf0e4e612cfa36d376854418bcb773bf,10
0x47045d1ee924ad6ff890ce8b52d6c1f08ad42235,30
0x470a20d2d07ed062c21c9f67bfc20750611610b5,3
0x4751917e24eed8286894de9f5302df8daf510acc,5
0x4762cf8896fc9edd11936f07f115a87a53ef7a73,5
0x47ab19ad14faf69e67bca1e79370d808a3b9525f,19
0x47bfe37a425139faaf036b665bf3361673b19744,12
0x47c633985e2a39b5bef016b98d708e4bde3ef746,20
0x47d1ae08cb02b6bef7b91dac65a41139598b910c,5
0x47ffa510e72734118e77027aaabd1672bedf9d4c,10
0x487c6480c33f32435f99cfa4b1e09c0d4e4165f7,1
0x48ab8492ff201c8eae9f89b17143ded620b3bd06,10
0x48b4a05f1f6cc77b984bf29bcd221177cb24f8ba,6
0x48c2319fc2faee12e771c6eafe44d3a544ac85fe,1
0x48eaa5adf147ded175352476b18551d8fddcd9a9,12
0x48f682d5ff41beeaf81061be2da65fa64128d049,1
0x494f31043f08cc31144c618e33be7f93faefc93c,5
0x49af3f3e893544851500cc9bd1ca643bb54c8438,2
0x49d1978dce1a788a0e33ac59c004e5fee4093e95,1
0x4a0573f70e77a28dd079c0e079174135ab6b41c5,5
0x4a05cddb65377d8f37f387ae3288552a13cb2eed,5
0x4a3dc2e4bdf839c75a7fa151aaea9fe8e0da2716,5
0x4a4444f55b000a42a36356bf83aedd49ac2e290b,1
0x4a47fdc635cca06680707f8038c5ebb07d91bd96,4
0x4a85555c4b1497e68cc2939d4d840663ce4f9400,5
0x4b207d9e5a4ea61303a96eceab5eb3ee41d3ba1f,4
0x4b36dae68ae191443fdcff240f070ab8d7a4e00a,31
0x4b433b03e6c366b91e233a19667992a46c1c0c05,4
0x4b6edfbc61fb7d0ce415248f5a8139b2b2e39b99,1
0x4be38c0d78da0f7d2df3571eff541e220d185b8c,10
0x4c710b38199f589dd769d36ed52b6d0170cb83ee,1
0x4c721c79339ffad7593d06432a1f922a8e0db5b4,5
