Address,Organization
0xc252Bbac966A9A0E6001f135C104B9Bb19FD9311,DxPool
0x6b022c479d78A6fE8D5940299DBc6DF38c0FD720,DxPool
0x55cb1C7241a937dEB0057331E3d57f0e439293bF,Staking4All
0x16C35674B2ed40548dFcD226c7df6336dA23092D,Attestant
0x64826f35c5A8708fabf242C4Ae2A2b4e6af3F665,DSRV
0xad781a7c59D8b508670f954D35Efc22274b534F0,DSRV
0x6FBe20CD92446f2347FC8951b36fF8d3c7a475f2,Kiln
0x3E2e001930215555799dFF1D11782Af2012Cf886,Cosmostation
0x1ab189B7801140900C711E458212F9c76F8dAC79,Luganodes
0x80D524ef77B5Fa0d4F3F09dA0AE8BC9836f89d42,Stakin
0x38348cc27dcea0901761856dc5ca69342c603ad2,Stakin
0x7c33653AB4354323caDbb5be77ed136bC7CE0af7,Cosmostation
0xd626Fe8CEa8CC3DeF4Feed15864f45188970328F,Cosmostation
0x8b1BFB64fb924d5A25aEf78B785EFCa7CAa436B4,Anonstake
0x07FF82cA02Edb686f24C8922B3235A82A8537D7c,Pier Two
0x0Ccc8D048CE690d2B80d9A991Bb74091bcfA3b80,HashKey Cloud
0x2c7536E3605D9C16a7a3D7b1898e529396a65c23,HashKey Cloud
0x801EE0aa86b41C6233ACC8fe5a13959B3a6c22d4,SenseiNode
0xc12e5BD1c64950C8de75F730cc1178aBcA2cCD43,Deutsche Telekom
0xe74736ae8A86895e52B4B3853CA790Cb987c97C6,Deutsche Telekom
0xe74f9F30ED144C15EFF541a6c9ACDbD319cb98ca,SenseiNode
0x741ABCeFd033C53aad75A034aa2794BE06e55A9C,Nodes.Guru
0xb5287da92b0DFDD0a91393894CCF9522e26faEE3,Nodes.Guru
0xB34caFFEE9f343f800C61701e0bb39203Cf7Ec06,RockawayX Infra
0x053D994c5fa761C1Db0ddFFf0F17E06337E843B3,StakeWithUs (Nansen)
0xcDF514ac379C000d1Cd89Aa5b46AA90ba853830B,Bware Labs (Alchemy)
0xbf5c95B4C2BDc9A75EeA876a956A97Bf13c21106,Lavender.Five Nodes
0x6c49d0790AfBbAABb5cB8Ab8a52d36BC9cDf67b7,Blockscape
0x414c936d3243ae994e69a2ba39b46b702f7a3a32,Piconbello
0x549B769b1c8BE1198Fc92dc8fCAEbf6BedC8DFC5,Chainnodes
0xbdf5Ce782871cbd4708eDBDe2dC18893d3C29E46,DappNode
0x5b3Bca24f0CaCB5240F238865DB55bCAcf83228D,Liquify LTD
0xe3023dAe714d827f2452442FCCfDC2bcD684De13,DragonStake SL
0xf0b01b4aA32048C7a14C5A09166185805126D0bb,Stakely
0xeCbb058Fc429941124a2b8d0984354c3132F536f,Galaxy (CryptoManufaktur)
0x913e09886C6925c5D761B351d8327cBdDc152d31,SNC Holding B.V.
0xEE1CF7a7F6B009CB612d491548dD1b8f7CEC9C6A,StakingCabin
0xc1ad760233be1e1049269b4f3b697308c6e87991,Simply Staking
0xc90bb790f6be6a73414b6d9f67509712cac149bf,Nodeinfra
0x178842E98a956fF78Df0Ceb6902d2F6d2De3095a,Forbole
0x9E96e66b3e020eCb4526E896def674CB458946d6,A41
0x8bcE1e8877E409AF6bE369D33c801cDE2Ae70F40,A41
0x48aB8492ff201c8eae9F89B17143dEd620b3bd06,Node3.Tech
0x7832687B7EFf9C199FD304b7122fa922Ff0448A5,DSRV
0x5b59f275679F3CB4b0b4272Adb5C5727D7eFb5E7,Ebunker
0x690A8F37DdD2f05EF48875CF865aF36B727a664a,Luganodes
0x9f729cdD920BBEA15e00291775966Bddd072ddBd,P2P
0x5AEEB064E6210a96D13Fe88EeDDE1BeB43f069f9,Kukis Global
0xfe02156994EF96DbBF5c0fC9007ED41305073DA0,Everstake
0xD248e620BF3D9E915e789714eC2bC38461cEcFAb,Allnodes
0xD0E5EBb9161df30b2B8926320CD45432A6F2027E,Chainnode Tech
0x5D95a7CC66Dd0d1Ed196145A7F957CbcA598A135,Finoa Consensus Services
0xB4eAC1ed1467381801E5Ee9EDb7DC18D9349Dd9B,01node
0xF697C77D45B7Faa6fC65fB44e5d6CBf30a9A6fCc,ChainLayer
0xb452Cf56bB3F349afe131b409634A88a287FA1BE,Swiss Staking
0x193f561dB53c3D75e7859Ad712bb990f32a672e5,Staking Facilities
0xE1a284D6E6dCD562FC2B6Ec815f2fCC0bE2BcdB6,Validation Cloud
0x1041685f106e02428626409050b4bb74d056815a,Nethermind
0x3bb335F86fC45a0dabD20F75235170d674417C43,Imperator.co
0x4F75b66cdc60d8550E176D112275e5338b413fc3,F5 Nodes
0x98C4Ed8E24F6478d98A84C812af87f9BD084Fe8D,01node
0x945087E612f0cB52E1f2ae08C27727F90aA80959,Validation Cloud
0xafbe28a3e5a057120737eae5a204680fc0ce60f5,Launchnodes
0xE3471362042a2723BF64aA46Cd0Db5Ac2bB7854D,Cosmostation
0x3276F0818E6F43752A3821D9594A8E60e4b58Fa9,Cosmostation
0x280EbDCC91209b12D3F2Cff11020d9D0df614d0a,Liquify LTD
0x9a63F6b86b48e1080685DA4EaDCF06156d021522,RockX
0x0Dc93087891FE8a59A31109C7ac643cdE7835711,RockLogic GmbH
0xe72a34afF3EbF66C321Ab96438E232526c648531,Spectrum Staking
0x8813679a33024Dd9195C64A4ED7E05AFF2D404A1,StakeWithUs (Nansen)
0xa859c3C9d07014750de1077B890Be0A77De41A73,Foundry
0xa4e5d733bde494eb703d9a49ad97c8bf83ce3af5,Luganodes
0xE5863D398EbD24322e66ab3Bcec52137A37a5c06,HashKey Cloud
0x910045Ec23c6055eE5FB827a4c6713c848B7C48f,Allnodes
0x0AF8D811aC9d37D7924aFc34E06ebbE549778E4b,StakeWithUs (Nansen)
0x0AE8038Cb3f6BEf38EDb3927a7287B23d014D73e,A41
0x96B5f8Ab8041182f23aA4E6ddc7ce0cbF608BBe0,Anonstake
0x49116A2F56d4c5b8E9771409c238B2657f5f8d6c,Chainode Tech
0xfEa915A24385F0Ea1D38264F7E8710Ef3a9ccAE0,ChainLayer
0x8F1Ab729e65aCA5E3AD1ab34A8aCF018b405c9D9,RockLogic GmbH
0x3D994842F81B57e9E054BCCF791c9bA9583aAc90,Validation Cloud
0x71E4B392D873970b57F58934B39c131D7B720341,Liquify LTD
0xB18f6fb48a377Df6DA5bb127456B4241A2a73023,HashKey Cloud
0xD5066EF0856d7Bbd991c85b3BeCEb8bA2fAe7B5A,ParaFi Technologies LLC
0xD834C4187f2ABC5979133FA1b475945D3be2501F,A41
0x791e0e96f5ff46da397770ebf5dc45fea2c2c8e3,Foro
0x76d8093d64da5195fed9c1f5cb38aed6d735fd04,Sigma Prime
